name,read_only,top_bar_color,primary_font_color,primary_link_color,primary_link_hover_color,primary_heading_color,primary_price_color,background_color,category_grid_background_color,product_view_background_color,block_content_background_color,nav_background_color,nav_link_color,nav_link_hover_color,nav_dropdown_background_color,nav_dropdown_link_color,nav_dropdown_link_hover_color,button_background_color,button_link_color,button_link_hover_color
Blank Theme Template,1,#000033,,,,,,,,,,,,,,,,,,
Luma Theme Template,1,#ffffff,,#006bb4,,,,,,,,#f0f0f0,#f0f0f0,,,,,#eee,,#68a8e0
Venia Theme Template,1,#fff0e9,#7e807e,#7e807e,#111,,,,,,,,,,,,,#ff957c,,
Brentmill Theme Template,1,#747474,#3c3c3c,#3c3c3c,#747474,,,#ffffff,,,,#ffffff,#a8a8a8,#dadada,#ffffff,#747474,#dadada,#db011c,#ffffff,#ffffff
B&W - Fashion Template,1,#666567,#000000,#000000,#666567,,,#ffffff,,,,#ffffff,#acacab,#757579,#ffffff,#757579,#acacab,#000000,#ffffff,#ffffff
Yellow - Industrial Template,1,#ffa500,#9a6226,#cc8400,#ffa500,,,#eeeeee,,,,#eeeeee,#aaaaaa,#aaaaaa,#eeeeee,#747474,#dadada,#cc8400,#eeeeee,#eeeeee
Nautical - Home/Auto Template,1,#cf5d5d,#000000,#000000,#919fc4,,,#fbfbfb,,,,#fbfbfb,#3751cd,#919fc4,#fbfbfb,#3751cd,#919fc4,#cf5d5d,#fbfbfb,#fbfbfb
Aqua - Medical Template,1,#aaaaaa,#00bbd3,#00bbd3,#aaaaaa,,,#f7f7f7,,,,#f7f7f7,#aaaaaa,#bbbbbb,#f7f7f7,#aaaaaa,#bbbbbb,#00bbd3,#f7f7f7,#bbbbbb
Bright - Technology Template,1,#ff8484,#1d4888,#1d4888,#ff8484,,,#cacfd5,,,,#cacfd5,#1d4888,#a2c990,#cacfd5,#1d4888,#a2c990,#fe3029,#cacfd5,#cacfd5
